model,mrr,mrr_std,hits_at_1,hits_at_1_std,hits_at_3,hits_at_3_std,hits_at_10,hits_at_10_std
ComplEx,0.021757593999306362,0.0036735686530755675,0.006172839506172839,0.0016497607525458296,0.02204585537918871,0.0070270623679493955,0.04541446208112874,0.006141264672479769
RotatE,0.3749925394852956,0.002386328270304345,0.32539682539682535,0.002857469443742447,0.3866843033509701,0.002494203813709162,0.4704585537918871,0.003471784776901162
TransE,0.3313010533650716,0.016599673586227826,0.2768959435626102,0.028087492607818326,0.34259259259259256,0.007788148912105673,0.4426807760141093,0.008248803762729165
TuckER,0.10332254817088445,0.003972369565269139,0.03350970017636684,0.0027179955921379966,0.09832451499118165,0.011446873885138598,0.28439153439153436,0.0010800219324440705
