cell_type	gene_symbol	ensembl_id	rank	score	pct_expressed	pct_others	p_val_adj	gene_biotype
Amygdala excitatory neuron	IL1RL2	ENSG00000115598	49	1.99747862088608	0.299	0.073	9.08179456381942e-143	protein_coding
Amygdala excitatory neuron	TDRD5	ENSG00000162782	50	1.99447426431952	0.49	0.118	9.96155933662722e-254	protein_coding
Astrocyte	TNC	ENSG00000041982	1	6.83166747116184	0.536	0.032	0.0	protein_coding
Astrocyte	SLC14A1	ENSG00000141469	2	6.65180782997142	0.72	0.033	0.0	protein_coding
Astrocyte	ETNPPL	ENSG00000164089	3	6.05084974440965	0.698	0.03	0.0	protein_coding
Astrocyte	GFAP	ENSG00000131095	4	5.80498630851068	0.708	0.062	0.0	protein_coding
Astrocyte	SLC25A18	ENSG00000182902	5	5.78859861265733	0.729	0.045	0.0	protein_coding
Astrocyte	GJB6	ENSG00000121742	6	5.75896694985632	0.306	0.006	0.0	protein_coding
Astrocyte	ZNF98	ENSG00000197360	7	5.45194488358707	0.298	0.069	5.5827140372115e-179	protein_coding
Astrocyte	SDC4	ENSG00000124145	8	5.42068670158223	0.567	0.034	0.0	protein_coding
Astrocyte	AQP4	ENSG00000171885	9	5.41750744531198	0.829	0.066	0.0	protein_coding
Astrocyte	ANGPTL4	ENSG00000167772	10	5.341290534935	0.329	0.031	0.0	protein_coding
Astrocyte	SLC1A2	ENSG00000110436	11	5.32531590462592	0.938	0.44	0.0	protein_coding
Astrocyte	HPSE2	ENSG00000172987	12	5.18457844248819	0.71	0.097	0.0	protein_coding
Astrocyte	AQP1	ENSG00000240583	13	5.08338049662268	0.287	0.049	1.1646912114491e-245	protein_coding
Astrocyte	PPP1R3C	ENSG00000119938	14	5.05555994284098	0.262	0.039	6.0175967962112204e-254	protein_coding
Astrocyte	MYBPC1	ENSG00000196091	15	5.02842626834324	0.384	0.028	0.0	protein_coding
Astrocyte	CD38	ENSG00000004468	16	5.01613091470877	0.475	0.018	0.0	protein_coding
Astrocyte	ACSBG1	ENSG00000103740	17	4.94123160164444	0.685	0.04	0.0	protein_coding
Astrocyte	FGFR3	ENSG00000068078	18	4.91625080159348	0.816	0.069	0.0	protein_coding
Astrocyte	ENTREP1	ENSG00000135063	19	4.76713775378702	0.773	0.104	0.0	protein_coding
Astrocyte	ENSG00000285082	ENSG00000285082	20	4.73219974795413	0.649	0.05	0.0	protein_coding
Astrocyte	GRIN2C	ENSG00000161509	21	4.65006202713769	0.439	0.034	0.0	protein_coding
Astrocyte	PAPLN	ENSG00000100767	22	4.41310971669379	0.47	0.036	0.0	protein_coding
Astrocyte	SLC6A11	ENSG00000132164	23	4.23692971029758	0.512	0.146	6.106349537451339e-280	protein_coding
Astrocyte	CLDN10	ENSG00000134873	24	4.22660141240035	0.345	0.036	0.0	protein_coding
Astrocyte	LCNL1	ENSG00000214402	25	4.20897152975518	0.466	0.073	0.0	protein_coding
Astrocyte	SLC25A48	ENSG00000145832	26	4.19889420791463	0.48	0.056	0.0	protein_coding
Astrocyte	COL5A3	ENSG00000080573	27	4.15961425640915	0.639	0.138	0.0	protein_coding
Astrocyte	IL33	ENSG00000137033	28	4.14610235941217	0.274	0.023	0.0	protein_coding
Astrocyte	EDNRB	ENSG00000136160	29	4.11170271146767	0.598	0.079	0.0	protein_coding
Astrocyte	PSD2	ENSG00000146005	30	4.11015014951418	0.62	0.128	0.0	protein_coding
Astrocyte	CD44	ENSG00000026508	31	4.06102332372419	0.26	0.035	8.927903070789649e-273	protein_coding
Astrocyte	PAMR1	ENSG00000149090	32	4.03561355946284	0.773	0.124	0.0	protein_coding
Astrocyte	ADGRV1	ENSG00000164199	33	4.01651193688417	0.587	0.387	2.43167642906856e-135	protein_coding
Astrocyte	GJA1	ENSG00000152661	34	3.98893246881143	0.762	0.093	0.0	protein_coding
Astrocyte	GINS3	ENSG00000181938	35	3.96184742846859	0.431	0.104	1.14539045389829e-264	protein_coding
Astrocyte	ATP13A4	ENSG00000127249	36	3.94350165359199	0.819	0.175	0.0	protein_coding
Astrocyte	RAPGEF3	ENSG00000079337	37	3.94142190834673	0.406	0.069	0.0	protein_coding
Astrocyte	ITGB4	ENSG00000132470	38	3.93727764515344	0.352	0.044	0.0	protein_coding
Astrocyte	RANBP3L	ENSG00000164188	39	3.92927948342482	0.692	0.098	0.0	protein_coding
Astrocyte	EFEMP1	ENSG00000115380	40	3.81562307019102	0.712	0.104	0.0	protein_coding
Astrocyte	WIF1	ENSG00000156076	41	3.77729784758508	0.279	0.093	1.99137977655552e-97	protein_coding
Astrocyte	BBOX1	ENSG00000129151	42	3.7488644700135	0.399	0.042	0.0	protein_coding
Astrocyte	RFX4	ENSG00000111783	43	3.7480898646327	0.882	0.281	0.0	protein_coding
Astrocyte	ALDH1L1	ENSG00000144908	44	3.71902870033673	0.506	0.058	0.0	protein_coding
Astrocyte	MLC1	ENSG00000100427	45	3.69888106114662	0.469	0.049	0.0	protein_coding
Astrocyte	PMP2	ENSG00000147588	46	3.69836726378717	0.394	0.045	0.0	protein_coding
Astrocyte	GLI3	ENSG00000106571	47	3.67812872205022	0.718	0.135	0.0	protein_coding
Astrocyte	MMP28	ENSG00000271447	48	3.66029887840805	0.338	0.079	6.55127278699729e-203	protein_coding
Astrocyte	TTPA	ENSG00000137561	49	3.60248999195332	0.355	0.057	0.0	protein_coding
Astrocyte	AGT	ENSG00000135744	50	3.56984495056371	0.574	0.048	0.0	protein_coding
Bergmann glia cell	TIMP4	ENSG00000157150	1	5.95100432912488	0.382	0.007	0.0	protein_coding
Bergmann glia cell	DAO	ENSG00000110887	2	5.67477873058266	0.429	0.027	0.0	protein_coding
Bergmann glia cell	COL22A1	ENSG00000169436	3	5.64069020941338	0.611	0.043	0.0	protein_coding
Bergmann glia cell	ALDH1A1	ENSG00000165092	4	5.57922986958552	0.953	0.066	0.0	protein_coding
Bergmann glia cell	GTF2A1L	ENSG00000242441	5	5.45142143305818	0.555	0.028	0.0	protein_coding
Bergmann glia cell	PAX3	ENSG00000135903	6	5.40917832509387	0.857	0.037	0.0	protein_coding
Bergmann glia cell	ADAMTSL1	ENSG00000178031	7	5.12925704372447	0.979	0.215	0.0	protein_coding
Bergmann glia cell	LCAT	ENSG00000213398	8	5.11674382699101	0.729	0.043	0.0	protein_coding
Bergmann glia cell	LGR6	ENSG00000133067	9	5.03289545298606	0.531	0.028	0.0	protein_coding
Bergmann glia cell	SLC4A4	ENSG00000080493	10	4.94873104374324	0.999	0.322	0.0	protein_coding
Bergmann glia cell	FAM181B	ENSG00000182103	11	4.72455504752814	0.755	0.055	0.0	protein_coding
Bergmann glia cell	STK32A	ENSG00000169302	12	4.5342797354754	0.937	0.11	0.0	protein_coding
Bergmann glia cell	KCNJ16	ENSG00000153822	13	4.48886453768749	0.522	0.033	0.0	protein_coding
Bergmann glia cell	SEPTIN4	ENSG00000108387	14	4.44271736482595	0.969	0.232	0.0	protein_coding
Bergmann glia cell	BLM	ENSG00000197299	15	4.39838677612409	0.616	0.064	0.0	protein_coding
Bergmann glia cell	SMTN	ENSG00000183963	16	4.38557553218513	0.62	0.05	0.0	protein_coding
Bergmann glia cell	STON1	ENSG00000243244	17	4.35103455078466	0.726	0.092	0.0	protein_coding
Bergmann glia cell	ATP10B	ENSG00000118322	18	4.27016451120877	0.933	0.113	0.0	protein_coding
Bergmann glia cell	ALDH1L1	ENSG00000144908	19	4.25517233543706	0.602	0.055	0.0	protein_coding
Bergmann glia cell	SRPX	ENSG00000101955	20	4.20614008926754	0.51	0.048	0.0	protein_coding
Bergmann glia cell	TJP2	ENSG00000119139	21	4.20412805699369	0.776	0.116	0.0	protein_coding
Bergmann glia cell	BMPR1B	ENSG00000138696	22	4.17348673112772	0.979	0.153	0.0	protein_coding
Bergmann glia cell	ELOVL2	ENSG00000197977	23	4.12840433964753	0.643	0.09	0.0	protein_coding
Bergmann glia cell	NDRG2	ENSG00000165795	24	4.09566868012361	0.945	0.147	0.0	protein_coding
Bergmann glia cell	LGI4	ENSG00000153902	25	4.09327821370087	0.752	0.167	0.0	protein_coding
