protein1	protein2	relation
ANLN	CKAP2L	INTERACTS_WITH
ANLN	DLGAP5	INTERACTS_WITH
ANLN	EXO1	INTERACTS_WITH
ANLN	KIF14	INTERACTS_WITH
ANLN	KPNA2	INTERACTS_WITH
ANLN	MELK	INTERACTS_WITH
ANLN	MKI67	INTERACTS_WITH
ANLN	NUSAP1	INTERACTS_WITH
ANLN	PBK	INTERACTS_WITH
ANLN	RRM2	INTERACTS_WITH
ANLN	TOP2A	INTERACTS_WITH
ANLN	TPX2	INTERACTS_WITH
ANLN	TTK	INTERACTS_WITH
ANLN	TYMS	INTERACTS_WITH
ANLN	UBE2C	INTERACTS_WITH
ANO1	CD34	INTERACTS_WITH
ANO1	KIT	INTERACTS_WITH
ANO1	LRRC8A	INTERACTS_WITH
ANO1	PDGFRA	INTERACTS_WITH
ANO3	GNAL	INTERACTS_WITH
APBB1IP	FYB1	INTERACTS_WITH
APOC2	APOD	INTERACTS_WITH
APOC2	LCAT	INTERACTS_WITH
APOC2	LPL	INTERACTS_WITH
APOD	C1QB	INTERACTS_WITH
APOD	LCAT	INTERACTS_WITH
AQP1	AQP9	INTERACTS_WITH
ARHGAP11A	ASPM	INTERACTS_WITH
ARHGAP11A	BUB1	INTERACTS_WITH
ARHGAP11A	CDK1	INTERACTS_WITH
ARHGAP11A	CENPF	INTERACTS_WITH
ARHGAP11A	CEP55	INTERACTS_WITH
ARHGAP11A	DLGAP5	INTERACTS_WITH
ARHGAP11A	KIF14	INTERACTS_WITH
ARHGAP11A	MKI67	INTERACTS_WITH
ARHGAP11A	TOP2A	INTERACTS_WITH
ARHGAP11A	TTK	INTERACTS_WITH
ASPA	FOLH1	INTERACTS_WITH
ASPA	GAD1	INTERACTS_WITH
ASPA	GAD2	INTERACTS_WITH
ASPM	AURKB	INTERACTS_WITH
ASPM	BIRC5	INTERACTS_WITH
ASPM	BUB1	INTERACTS_WITH
ASPM	CCNB1	INTERACTS_WITH
ASPM	CCNB2	INTERACTS_WITH
ASPM	CDC20	INTERACTS_WITH
ASPM	CDC45	INTERACTS_WITH
ASPM	CDCA2	INTERACTS_WITH
ASPM	CDCA5	INTERACTS_WITH
ASPM	CDK1	INTERACTS_WITH
ASPM	CENPF	INTERACTS_WITH
ASPM	CEP55	INTERACTS_WITH
ASPM	CIT	INTERACTS_WITH
ASPM	CKAP2L	INTERACTS_WITH
ASPM	CKS2	INTERACTS_WITH
ASPM	DLGAP5	INTERACTS_WITH
ASPM	DTL	INTERACTS_WITH
ASPM	EXO1	INTERACTS_WITH
ASPM	HJURP	INTERACTS_WITH
ASPM	KIF14	INTERACTS_WITH
ASPM	KIF18B	INTERACTS_WITH
ASPM	KIFC1	INTERACTS_WITH
