protein1	protein2	relation
CCNB2	MELK	INTERACTS_WITH
CCNB2	MKI67	INTERACTS_WITH
CCNB2	MYBL2	INTERACTS_WITH
CCNB2	NCAPG	INTERACTS_WITH
CCNB2	NDC80	INTERACTS_WITH
CCNB2	NUSAP1	INTERACTS_WITH
CCNB2	PBK	INTERACTS_WITH
CCNB2	PIMREG	INTERACTS_WITH
CCNB2	PTTG1	INTERACTS_WITH
CCNB2	RRM2	INTERACTS_WITH
CCNB2	SGO1	INTERACTS_WITH
CCNB2	TOP2A	INTERACTS_WITH
CCNB2	TPX2	INTERACTS_WITH
CCNB2	TTK	INTERACTS_WITH
CCNB2	TYMS	INTERACTS_WITH
CCNB2	UBE2C	INTERACTS_WITH
CD22	CD38	INTERACTS_WITH
CD22	GALR1	INTERACTS_WITH
CD22	ITGAM	INTERACTS_WITH
CD22	ITGAX	INTERACTS_WITH
CD22	MME	INTERACTS_WITH
CD22	SYK	INTERACTS_WITH
CD24	CD38	INTERACTS_WITH
CD24	CD44	INTERACTS_WITH
CD24	PECAM1	INTERACTS_WITH
CD34	CD36	INTERACTS_WITH
CD34	CD38	INTERACTS_WITH
CD34	CD44	INTERACTS_WITH
CD34	CDH5	INTERACTS_WITH
CD34	CSF1R	INTERACTS_WITH
CD34	CXCR4	INTERACTS_WITH
CD34	EMCN	INTERACTS_WITH
CD34	FLT1	INTERACTS_WITH
CD34	FLT3	INTERACTS_WITH
CD34	GFAP	INTERACTS_WITH
CD34	ITGAM	INTERACTS_WITH
CD34	ITGAX	INTERACTS_WITH
CD34	KIT	INTERACTS_WITH
CD34	MCAM	INTERACTS_WITH
CD34	MME	INTERACTS_WITH
CD34	NES	INTERACTS_WITH
CD34	PDGFRA	INTERACTS_WITH
CD34	PDGFRB	INTERACTS_WITH
CD34	PECAM1	INTERACTS_WITH
CD34	SELPLG	INTERACTS_WITH
CD34	VWF	INTERACTS_WITH
CD36	CD44	INTERACTS_WITH
CD36	CLEC7A	INTERACTS_WITH
CD36	COL1A1	INTERACTS_WITH
CD36	COL1A2	INTERACTS_WITH
CD36	ITGAM	INTERACTS_WITH
CD36	LPL	INTERACTS_WITH
CD36	OLR1	INTERACTS_WITH
CD36	PECAM1	INTERACTS_WITH
CD36	TLR2	INTERACTS_WITH
CD36	VWF	INTERACTS_WITH
CD38	CD44	INTERACTS_WITH
CD38	CD86	INTERACTS_WITH
CD38	CXCR4	INTERACTS_WITH
CD38	ITGA4	INTERACTS_WITH
CD38	ITGAM	INTERACTS_WITH
CD38	KIT	INTERACTS_WITH
CD38	MME	INTERACTS_WITH
CD38	PECAM1	INTERACTS_WITH
CD38	RYR1	INTERACTS_WITH
CD38	SDC1	INTERACTS_WITH
CD38	SIRT2	INTERACTS_WITH
CD44	CD86	INTERACTS_WITH
CD44	COL1A1	INTERACTS_WITH
CD44	COL1A2	INTERACTS_WITH
CD44	COL2A1	INTERACTS_WITH
CD44	COL4A1	INTERACTS_WITH
CD44	COL4A4	INTERACTS_WITH
CD44	COL6A3	INTERACTS_WITH
CD44	COL9A1	INTERACTS_WITH
CD44	CXCR4	INTERACTS_WITH
CD44	ERBB4	INTERACTS_WITH
CD44	FGF5	INTERACTS_WITH
CD44	ICAM2	INTERACTS_WITH
CD44	IGF1	INTERACTS_WITH
CD44	IL15	INTERACTS_WITH
CD44	ITGA2	INTERACTS_WITH
CD44	ITGA4	INTERACTS_WITH
CD44	ITGAM	INTERACTS_WITH
CD44	ITGAX	INTERACTS_WITH
CD44	KIT	INTERACTS_WITH
CD44	LAMC3	INTERACTS_WITH
CD44	LPL	INTERACTS_WITH
CD44	MCAM	INTERACTS_WITH
CD44	MET	INTERACTS_WITH
CD44	MMP2	INTERACTS_WITH
CD44	NES	INTERACTS_WITH
CD44	PDGFRB	INTERACTS_WITH
CD44	PECAM1	INTERACTS_WITH
CD44	SDC1	INTERACTS_WITH
CD44	SELPLG	INTERACTS_WITH
CD44	SLC7A11	INTERACTS_WITH
CD44	TLR2	INTERACTS_WITH
CD44	TWIST1	INTERACTS_WITH
CD44	VCAN	INTERACTS_WITH
CD44	VIM	INTERACTS_WITH
CD53	CD82	INTERACTS_WITH
CD53	LAPTM5	INTERACTS_WITH
CD53	NCKAP1L	INTERACTS_WITH
CD53	TYROBP	INTERACTS_WITH
CD82	VANGL1	INTERACTS_WITH
CD86	CSF1	INTERACTS_WITH
CD86	CSF1R	INTERACTS_WITH
CD86	CXCR4	INTERACTS_WITH
CD86	HLA-DRA	INTERACTS_WITH
CD86	IRF8	INTERACTS_WITH
CD86	ITGAM	INTERACTS_WITH
CD86	ITGAX	INTERACTS_WITH
CD86	LILRB4	INTERACTS_WITH
CD86	LY86	INTERACTS_WITH
CD86	TLR2	INTERACTS_WITH
CDC20	CDC25C	INTERACTS_WITH
CDC20	CDC45	INTERACTS_WITH
CDC20	CDCA2	INTERACTS_WITH
CDC20	CDCA5	INTERACTS_WITH
CDC20	CDK1	INTERACTS_WITH
CDC20	CENPF	INTERACTS_WITH
CDC20	CENPH	INTERACTS_WITH
CDC20	CENPM	INTERACTS_WITH
CDC20	CENPU	INTERACTS_WITH
CDC20	CEP55	INTERACTS_WITH
CDC20	CKS1B	INTERACTS_WITH
CDC20	CKS2	INTERACTS_WITH
CDC20	DLGAP5	INTERACTS_WITH
CDC20	EXO1	INTERACTS_WITH
CDC20	GTSE1	INTERACTS_WITH
CDC20	HJURP	INTERACTS_WITH
CDC20	KIF18B	INTERACTS_WITH
CDC20	KIFC1	INTERACTS_WITH
CDC20	KNL1	INTERACTS_WITH
CDC20	KPNA2	INTERACTS_WITH
CDC20	MAD2L1	INTERACTS_WITH
CDC20	MCM2	INTERACTS_WITH
CDC20	MCM5	INTERACTS_WITH
CDC20	MELK	INTERACTS_WITH
CDC20	MKI67	INTERACTS_WITH
CDC20	MYBL2	INTERACTS_WITH
CDC20	NCAPG	INTERACTS_WITH
CDC20	NDC80	INTERACTS_WITH
CDC20	NEUROD2	INTERACTS_WITH
CDC20	NUSAP1	INTERACTS_WITH
CDC20	PBK	INTERACTS_WITH
CDC20	PIMREG	INTERACTS_WITH
CDC20	PTTG1	INTERACTS_WITH
CDC20	RRM2	INTERACTS_WITH
CDC20	SGO1	INTERACTS_WITH
CDC20	SIRT2	INTERACTS_WITH
CDC20	TOP2A	INTERACTS_WITH
CDC20	TPX2	INTERACTS_WITH
CDC20	TROAP	INTERACTS_WITH
CDC20	TTK	INTERACTS_WITH
CDC20	TYMS	INTERACTS_WITH
CDC20	UBE2C	INTERACTS_WITH
CDC20	USP44	INTERACTS_WITH
CDC25C	CDC45	INTERACTS_WITH
CDC25C	CDCA2	INTERACTS_WITH
CDC25C	CDCA5	INTERACTS_WITH
CDC25C	CDK1	INTERACTS_WITH
CDC25C	DLGAP5	INTERACTS_WITH
CDC25C	GTSE1	INTERACTS_WITH
CDC25C	HJURP	INTERACTS_WITH
CDC25C	KIF14	INTERACTS_WITH
CDC25C	MELK	INTERACTS_WITH
CDC25C	PTTG1	INTERACTS_WITH
CDC25C	TOP2A	INTERACTS_WITH
CDC25C	TTK	INTERACTS_WITH
CDC25C	UBE2C	INTERACTS_WITH
CDC45	CDCA5	INTERACTS_WITH
CDC45	CDK1	INTERACTS_WITH
CDC45	CENPF	INTERACTS_WITH
CDC45	CENPM	INTERACTS_WITH
CDC45	CEP55	INTERACTS_WITH
CDC45	CKAP2L	INTERACTS_WITH
CDC45	DLGAP5	INTERACTS_WITH
CDC45	DTL	INTERACTS_WITH
CDC45	ESCO2	INTERACTS_WITH
CDC45	EXO1	INTERACTS_WITH
CDC45	GINS2	INTERACTS_WITH
CDC45	GINS3	INTERACTS_WITH
CDC45	HJURP	INTERACTS_WITH
CDC45	KIFC1	INTERACTS_WITH
CDC45	MAD2L1	INTERACTS_WITH
CDC45	MCM10	INTERACTS_WITH
CDC45	MCM2	INTERACTS_WITH
CDC45	MCM5	INTERACTS_WITH
CDC45	MELK	INTERACTS_WITH
CDC45	MKI67	INTERACTS_WITH
CDC45	NCAPG	INTERACTS_WITH
CDC45	NUSAP1	INTERACTS_WITH
CDC45	PBK	INTERACTS_WITH
CDC45	PTTG1	INTERACTS_WITH
CDC45	RRM2	INTERACTS_WITH
CDC45	TOP2A	INTERACTS_WITH
CDC45	TPX2	INTERACTS_WITH
CDC45	TTK	INTERACTS_WITH
CDC45	TYMS	INTERACTS_WITH
CDC45	UBE2C	INTERACTS_WITH
CDCA2	CDCA5	INTERACTS_WITH
CDCA2	CDK1	INTERACTS_WITH
CDCA2	CENPF	INTERACTS_WITH
CDCA2	CEP55	INTERACTS_WITH
CDCA2	CKAP2L	INTERACTS_WITH
CDCA2	DLGAP5	INTERACTS_WITH
CDCA2	GTSE1	INTERACTS_WITH
CDCA2	HJURP	INTERACTS_WITH
CDCA2	KIF14	INTERACTS_WITH
CDCA2	KNL1	INTERACTS_WITH
CDCA2	KPNA2	INTERACTS_WITH
CDCA2	NCAPG	INTERACTS_WITH
CDCA2	PBK	INTERACTS_WITH
CDCA2	SGO1	INTERACTS_WITH
CDCA2	TOP2A	INTERACTS_WITH
CDCA2	TPX2	INTERACTS_WITH
CDCA2	TROAP	INTERACTS_WITH
CDCA2	TTK	INTERACTS_WITH
CDCA5	CDK1	INTERACTS_WITH
CDCA5	CENPF	INTERACTS_WITH
CDCA5	CENPM	INTERACTS_WITH
CDCA5	CENPU	INTERACTS_WITH
CDCA5	CEP55	INTERACTS_WITH
CDCA5	CKAP2L	INTERACTS_WITH
CDCA5	DLGAP5	INTERACTS_WITH
CDCA5	ESCO2	INTERACTS_WITH
CDCA5	HJURP	INTERACTS_WITH
CDCA5	KIF14	INTERACTS_WITH
CDCA5	KIFC1	INTERACTS_WITH
CDCA5	KNL1	INTERACTS_WITH
CDCA5	MCM10	INTERACTS_WITH
CDCA5	MELK	INTERACTS_WITH
CDCA5	NCAPG	INTERACTS_WITH
CDCA5	NUSAP1	INTERACTS_WITH
CDCA5	PBK	INTERACTS_WITH
CDCA5	PTTG1	INTERACTS_WITH
CDCA5	SGO1	INTERACTS_WITH
CDCA5	TOP2A	INTERACTS_WITH
CDCA5	TPX2	INTERACTS_WITH
CDCA5	TTK	INTERACTS_WITH
CDCA5	TYMS	INTERACTS_WITH
CDCA5	UBE2C	INTERACTS_WITH
CDCA5	UHRF1	INTERACTS_WITH
CDH19	CDH9	INTERACTS_WITH
CDH5	CLDN5	INTERACTS_WITH
CDH5	EMCN	INTERACTS_WITH
CDH5	FLT1	INTERACTS_WITH
CDH5	KIT	INTERACTS_WITH
CDH5	MCAM	INTERACTS_WITH
CDH5	PECAM1	INTERACTS_WITH
CDH5	ROBO4	INTERACTS_WITH
CDH5	TAGLN	INTERACTS_WITH
CDH5	TIE1	INTERACTS_WITH
CDH5	VWF	INTERACTS_WITH
CDH7	CDH9	INTERACTS_WITH
CDK1	CENPF	INTERACTS_WITH
CDK1	CENPH	INTERACTS_WITH
CDK1	CENPM	INTERACTS_WITH
CDK1	CENPU	INTERACTS_WITH
CDK1	CEP55	INTERACTS_WITH
CDK1	CKAP2L	INTERACTS_WITH
CDK1	CKS1B	INTERACTS_WITH
CDK1	CKS2	INTERACTS_WITH
CDK1	DLGAP5	INTERACTS_WITH
CDK1	DTL	INTERACTS_WITH
CDK1	ESCO2	INTERACTS_WITH
CDK1	EXO1	INTERACTS_WITH
CDK1	GADD45G	INTERACTS_WITH
CDK1	GJA1	INTERACTS_WITH
CDK1	GTSE1	INTERACTS_WITH
CDK1	H1-1	INTERACTS_WITH
CDK1	H2BC21	INTERACTS_WITH
CDK1	HJURP	INTERACTS_WITH
CDK1	KIF14	INTERACTS_WITH
CDK1	KIFC1	INTERACTS_WITH
CDK1	KNL1	INTERACTS_WITH
CDK1	KPNA2	INTERACTS_WITH
CDK1	MAD2L1	INTERACTS_WITH
CDK1	MCM10	INTERACTS_WITH
CDK1	MCM2	INTERACTS_WITH
CDK1	MCM5	INTERACTS_WITH
CDK1	MELK	INTERACTS_WITH
CDK1	MKI67	INTERACTS_WITH
CDK1	MYBL2	INTERACTS_WITH
CDK1	NCAPG	INTERACTS_WITH
CDK1	NDC80	INTERACTS_WITH
CDK1	NUSAP1	INTERACTS_WITH
CDK1	PBK	INTERACTS_WITH
CDK1	PIMREG	INTERACTS_WITH
CDK1	PTTG1	INTERACTS_WITH
CDK1	RRM2	INTERACTS_WITH
CDK1	SGO1	INTERACTS_WITH
CDK1	TOP2A	INTERACTS_WITH
CDK1	TPX2	INTERACTS_WITH
CDK1	TTK	INTERACTS_WITH
CDK1	TYMS	INTERACTS_WITH
CDK1	TYRP1	INTERACTS_WITH
CDK1	UBE2C	INTERACTS_WITH
CENPF	CENPH	INTERACTS_WITH
CENPF	CENPM	INTERACTS_WITH
CENPF	CENPU	INTERACTS_WITH
CENPF	CEP55	INTERACTS_WITH
CENPF	CKAP2L	INTERACTS_WITH
CENPF	DLGAP5	INTERACTS_WITH
CENPF	DTL	INTERACTS_WITH
CENPF	EXO1	INTERACTS_WITH
CENPF	GTSE1	INTERACTS_WITH
CENPF	HJURP	INTERACTS_WITH
CENPF	KIF14	INTERACTS_WITH
CENPF	KIFC1	INTERACTS_WITH
CENPF	KNL1	INTERACTS_WITH
CENPF	MAD2L1	INTERACTS_WITH
CENPF	MELK	INTERACTS_WITH
CENPF	MKI67	INTERACTS_WITH
CENPF	NCAPG	INTERACTS_WITH
CENPF	NDC80	INTERACTS_WITH
CENPF	NUSAP1	INTERACTS_WITH
CENPF	PBK	INTERACTS_WITH
CENPF	PTTG1	INTERACTS_WITH
CENPF	RRM2	INTERACTS_WITH
CENPF	SGO1	INTERACTS_WITH
CENPF	TOP2A	INTERACTS_WITH
CENPF	TPX2	INTERACTS_WITH
CENPF	TROAP	INTERACTS_WITH
CENPF	TTK	INTERACTS_WITH
CENPF	UBE2C	INTERACTS_WITH
CENPH	CENPM	INTERACTS_WITH
CENPH	CENPU	INTERACTS_WITH
CENPH	EXO1	INTERACTS_WITH
CENPH	HJURP	INTERACTS_WITH
CENPH	KNL1	INTERACTS_WITH
CENPH	MAD2L1	INTERACTS_WITH
CENPH	NDC80	INTERACTS_WITH
CENPH	TRIM36	INTERACTS_WITH
CENPM	CENPU	INTERACTS_WITH
CENPM	CEP55	INTERACTS_WITH
CENPM	DLGAP5	INTERACTS_WITH
CENPM	GINS2	INTERACTS_WITH
CENPM	HJURP	INTERACTS_WITH
CENPM	KNL1	INTERACTS_WITH
CENPM	MAD2L1	INTERACTS_WITH
CENPM	NUSAP1	INTERACTS_WITH
CENPM	PBK	INTERACTS_WITH
CENPM	RRM2	INTERACTS_WITH
CENPU	DLGAP5	INTERACTS_WITH
CENPU	HJURP	INTERACTS_WITH
CENPU	KNL1	INTERACTS_WITH
CENPU	MAD2L1	INTERACTS_WITH
CENPU	NCAPG	INTERACTS_WITH
CENPU	NDC80	INTERACTS_WITH
CENPU	PBK	INTERACTS_WITH
CEP55	CKAP2L	INTERACTS_WITH
CEP55	DLGAP5	INTERACTS_WITH
CEP55	DTL	INTERACTS_WITH
CEP55	HJURP	INTERACTS_WITH
CEP55	KIF14	INTERACTS_WITH
CEP55	KIF18B	INTERACTS_WITH
CEP55	MAD2L1	INTERACTS_WITH
CEP55	MCM10	INTERACTS_WITH
CEP55	MELK	INTERACTS_WITH
CEP55	MKI67	INTERACTS_WITH
CEP55	NCAPG	INTERACTS_WITH
CEP55	NDC80	INTERACTS_WITH
CEP55	NUSAP1	INTERACTS_WITH
CEP55	PBK	INTERACTS_WITH
CEP55	PTTG1	INTERACTS_WITH
CEP55	RRM2	INTERACTS_WITH
CEP55	SGO1	INTERACTS_WITH
CEP55	TOP2A	INTERACTS_WITH
CEP55	TPX2	INTERACTS_WITH
CEP55	TTK	INTERACTS_WITH
CEP55	TYMS	INTERACTS_WITH
CEP55	UBE2C	INTERACTS_WITH
CEP55	UHRF1	INTERACTS_WITH
CFAP45	CFAP52	INTERACTS_WITH
CFAP45	TEKT1	INTERACTS_WITH
CFAP45	TUBA1A	INTERACTS_WITH
CFAP47	TTC29	INTERACTS_WITH
CFAP52	TEKT1	INTERACTS_WITH
CFAP52	TUBA1A	INTERACTS_WITH
CHRM2	GNG11	INTERACTS_WITH
CHRM2	LPAR5	INTERACTS_WITH
CHRM2	SST	INTERACTS_WITH
CHRNA1	CHRNA2	INTERACTS_WITH
CHRNA1	CHRNA3	INTERACTS_WITH
CHRNA2	CHRNA3	INTERACTS_WITH
CHRNA2	CHRNA7	INTERACTS_WITH
CHRNA2	PNOC	INTERACTS_WITH
CHRNA3	CHRNA7	INTERACTS_WITH
CHST8	CHST9	INTERACTS_WITH
CIT	KIF14	INTERACTS_WITH
CKAP2L	DLGAP5	INTERACTS_WITH
CKAP2L	GTSE1	INTERACTS_WITH
CKAP2L	HJURP	INTERACTS_WITH
CKAP2L	KIF14	INTERACTS_WITH
CKAP2L	KIFC1	INTERACTS_WITH
CKAP2L	MELK	INTERACTS_WITH
CKAP2L	NCAPG	INTERACTS_WITH
CKAP2L	NUSAP1	INTERACTS_WITH
CKAP2L	PBK	INTERACTS_WITH
CKAP2L	SGO1	INTERACTS_WITH
CKAP2L	TOP2A	INTERACTS_WITH
CKAP2L	TPX2	INTERACTS_WITH
CKS1B	CKS2	INTERACTS_WITH
CKS1B	MAD2L1	INTERACTS_WITH
CKS1B	PTTG1	INTERACTS_WITH
CKS1B	UBE2C	INTERACTS_WITH
CKS2	DLGAP5	INTERACTS_WITH
CKS2	KPNA2	INTERACTS_WITH
CKS2	MAD2L1	INTERACTS_WITH
CKS2	MELK	INTERACTS_WITH
CKS2	NUSAP1	INTERACTS_WITH
CKS2	PTTG1	INTERACTS_WITH
CKS2	TOP2A	INTERACTS_WITH
CKS2	UBE2C	INTERACTS_WITH
CLDN10	CLDN2	INTERACTS_WITH
CLDN10	CLDN5	INTERACTS_WITH
CLDN2	CLDN5	INTERACTS_WITH
CLDN2	TJP2	INTERACTS_WITH
CLDN5	GJA1	INTERACTS_WITH
CLDN5	PECAM1	INTERACTS_WITH
CLDN5	ROBO4	INTERACTS_WITH
CLDN5	SOX18	INTERACTS_WITH
CLDN5	TJP2	INTERACTS_WITH
CLDN5	VWF	INTERACTS_WITH
CLEC14A	MMRN2	INTERACTS_WITH
CLEC7A	ITGAX	INTERACTS_WITH
CLEC7A	SYK	INTERACTS_WITH
CLEC7A	TGFBR3	INTERACTS_WITH
CLEC7A	TLR2	INTERACTS_WITH
CLEC7A	TYROBP	INTERACTS_WITH
CLMP	TFPI	INTERACTS_WITH
CNDP1	GAD1	INTERACTS_WITH
CNDP1	GAD2	INTERACTS_WITH
CNGB1	EYS	INTERACTS_WITH
CNGB1	GUCA1C	INTERACTS_WITH
CNGB1	RDH12	INTERACTS_WITH
CNGB1	ROM1	INTERACTS_WITH
CNN1	LMOD1	INTERACTS_WITH
CNN1	MYH11	INTERACTS_WITH
CNN1	MYL9	INTERACTS_WITH
CNN1	MYLK	INTERACTS_WITH
CNN1	MYOCD	INTERACTS_WITH
CNN1	SMTN	INTERACTS_WITH
CNN1	TAGLN	INTERACTS_WITH
CNN2	STAT4	INTERACTS_WITH
CNP	GFAP	INTERACTS_WITH
CNP	MAG	INTERACTS_WITH
CNP	MBP	INTERACTS_WITH
CNP	MOBP	INTERACTS_WITH
CNP	MOG	INTERACTS_WITH
CNP	OLIG1	INTERACTS_WITH
CNP	OLIG2	INTERACTS_WITH
CNP	PDGFRA	INTERACTS_WITH
CNP	PLP1	INTERACTS_WITH
CNR1	DRD2	INTERACTS_WITH
CNR1	HTR2A	INTERACTS_WITH
CNTN2	MOG	INTERACTS_WITH
CNTN2	NRP1	INTERACTS_WITH
CNTN2	PTPRZ1	INTERACTS_WITH
COL12A1	COL14A1	INTERACTS_WITH
COL12A1	COL1A1	INTERACTS_WITH
COL12A1	COL1A2	INTERACTS_WITH
COL12A1	COL22A1	INTERACTS_WITH
COL12A1	COL3A1	INTERACTS_WITH
COL12A1	COL5A2	INTERACTS_WITH
COL12A1	COL5A3	INTERACTS_WITH
COL12A1	COL6A3	INTERACTS_WITH
COL12A1	COL9A1	INTERACTS_WITH
COL12A1	LUM	INTERACTS_WITH
COL12A1	MMP2	INTERACTS_WITH
COL13A1	COL5A3	INTERACTS_WITH
COL14A1	COL15A1	INTERACTS_WITH
COL14A1	COL1A1	INTERACTS_WITH
COL14A1	COL1A2	INTERACTS_WITH
COL14A1	COL3A1	INTERACTS_WITH
COL14A1	COL5A2	INTERACTS_WITH
COL14A1	COL8A2	INTERACTS_WITH
COL14A1	COL9A1	INTERACTS_WITH
COL14A1	DCN	INTERACTS_WITH
COL14A1	LUM	INTERACTS_WITH
COL14A1	OGN	INTERACTS_WITH
COL14A1	PRELP	INTERACTS_WITH
COL15A1	COL1A1	INTERACTS_WITH
COL15A1	COL1A2	INTERACTS_WITH
COL15A1	COL3A1	INTERACTS_WITH
COL15A1	COL4A1	INTERACTS_WITH
COL15A1	COL4A4	INTERACTS_WITH
COL15A1	COL5A2	INTERACTS_WITH
COL1A1	COL1A2	INTERACTS_WITH
COL1A1	COL2A1	INTERACTS_WITH
COL1A1	COL3A1	INTERACTS_WITH
COL1A1	COL4A1	INTERACTS_WITH
COL1A1	COL5A2	INTERACTS_WITH
COL1A1	COL5A3	INTERACTS_WITH
COL1A1	COL6A3	INTERACTS_WITH
COL1A1	CTHRC1	INTERACTS_WITH
COL1A1	DCN	INTERACTS_WITH
COL1A1	FMOD	INTERACTS_WITH
COL1A1	IGF1	INTERACTS_WITH
COL1A1	ITGA11	INTERACTS_WITH
COL1A1	ITGA2	INTERACTS_WITH
COL1A1	ITGA4	INTERACTS_WITH
COL1A1	ITGB4	INTERACTS_WITH
COL1A1	LUM	INTERACTS_WITH
COL1A1	MMP2	INTERACTS_WITH
COL1A1	PCOLCE	INTERACTS_WITH
COL1A1	PCOLCE2	INTERACTS_WITH
COL1A1	PDGFRB	INTERACTS_WITH
COL1A1	POSTN	INTERACTS_WITH
COL1A1	SDC1	INTERACTS_WITH
COL1A1	SDC4	INTERACTS_WITH
COL1A1	TAGLN	INTERACTS_WITH
COL1A1	TGFBI	INTERACTS_WITH
COL1A1	VIM	INTERACTS_WITH
COL1A1	VWF	INTERACTS_WITH
COL1A2	COL2A1	INTERACTS_WITH
COL1A2	COL3A1	INTERACTS_WITH
COL1A2	COL4A1	INTERACTS_WITH
COL1A2	COL5A2	INTERACTS_WITH
COL1A2	COL5A3	INTERACTS_WITH
COL1A2	COL6A3	INTERACTS_WITH
COL1A2	DCN	INTERACTS_WITH
COL1A2	FBLN2	INTERACTS_WITH
COL1A2	ITGA11	INTERACTS_WITH
COL1A2	ITGA2	INTERACTS_WITH
COL1A2	ITGA4	INTERACTS_WITH
COL1A2	ITGB4	INTERACTS_WITH
COL1A2	LUM	INTERACTS_WITH
COL1A2	MMP2	INTERACTS_WITH
COL1A2	PCOLCE	INTERACTS_WITH
COL1A2	POSTN	INTERACTS_WITH
COL1A2	SDC1	INTERACTS_WITH
COL1A2	SDC4	INTERACTS_WITH
COL1A2	TAGLN	INTERACTS_WITH
COL1A2	TGFBI	INTERACTS_WITH
COL1A2	VCAN	INTERACTS_WITH
COL2A1	COL3A1	INTERACTS_WITH
COL2A1	COL5A2	INTERACTS_WITH
COL2A1	COL5A3	INTERACTS_WITH
COL2A1	COL6A3	INTERACTS_WITH
COL2A1	COL8A2	INTERACTS_WITH
COL2A1	COL9A1	INTERACTS_WITH
COL2A1	FGFR3	INTERACTS_WITH
COL2A1	HAPLN1	INTERACTS_WITH
COL2A1	HLA-DRA	INTERACTS_WITH
COL2A1	ITGA11	INTERACTS_WITH
COL2A1	ITGA2	INTERACTS_WITH
COL2A1	ITGB4	INTERACTS_WITH
COL2A1	LUM	INTERACTS_WITH
COL2A1	PTHLH	INTERACTS_WITH
COL2A1	SDC1	INTERACTS_WITH
COL2A1	SDC4	INTERACTS_WITH
COL3A1	COL4A1	INTERACTS_WITH
COL3A1	COL5A2	INTERACTS_WITH
COL3A1	COL5A3	INTERACTS_WITH
COL3A1	COL6A3	INTERACTS_WITH
COL3A1	DCN	INTERACTS_WITH
COL3A1	FBN2	INTERACTS_WITH
COL3A1	ITGA2	INTERACTS_WITH
COL3A1	LUM	INTERACTS_WITH
COL3A1	MMP2	INTERACTS_WITH
COL3A1	PCOLCE	INTERACTS_WITH
COL3A1	POSTN	INTERACTS_WITH
COL3A1	VCAN	INTERACTS_WITH
COL4A1	COL5A2	INTERACTS_WITH
COL4A1	COL5A3	INTERACTS_WITH
COL4A1	COL6A3	INTERACTS_WITH
COL4A1	ITGA11	INTERACTS_WITH
COL4A1	ITGA2	INTERACTS_WITH
COL4A1	ITGA4	INTERACTS_WITH
COL4A1	ITGB4	INTERACTS_WITH
COL4A1	MMP2	INTERACTS_WITH
COL4A1	SDC1	INTERACTS_WITH
COL4A1	SDC4	INTERACTS_WITH
COL4A4	ITGA11	INTERACTS_WITH
COL4A4	ITGA2	INTERACTS_WITH
COL4A4	ITGA4	INTERACTS_WITH
COL4A4	ITGB4	INTERACTS_WITH
COL5A2	COL5A3	INTERACTS_WITH
COL5A2	COL6A3	INTERACTS_WITH
COL5A2	LUM	INTERACTS_WITH
COL5A2	PCOLCE	INTERACTS_WITH
COL5A2	POSTN	INTERACTS_WITH
COL5A3	LUM	INTERACTS_WITH
COL6A3	ITGA11	INTERACTS_WITH
COL6A3	ITGA2	INTERACTS_WITH
COL6A3	ITGA4	INTERACTS_WITH
COL6A3	ITGB4	INTERACTS_WITH
COL6A3	LUM	INTERACTS_WITH
COL6A3	POSTN	INTERACTS_WITH
COL8A2	LOXHD1	INTERACTS_WITH
COL9A1	HAPLN1	INTERACTS_WITH
COL9A1	ITGA11	INTERACTS_WITH
COL9A1	ITGA2	INTERACTS_WITH
COL9A1	MATN3	INTERACTS_WITH
CORT	SST	INTERACTS_WITH
CORT	SSTR3	INTERACTS_WITH
CRABP1	CYP26B1	INTERACTS_WITH
CRABP1	NEUROG1	INTERACTS_WITH
CRABP1	RARB	INTERACTS_WITH
CRABP2	PLAAT1	INTERACTS_WITH
CRABP2	RARB	INTERACTS_WITH
CRH	CRHBP	INTERACTS_WITH
CRH	CRHR1	INTERACTS_WITH
CRH	CRHR2	INTERACTS_WITH
CRH	OPRM1	INTERACTS_WITH
CRH	PDYN	INTERACTS_WITH
CRH	PENK	INTERACTS_WITH
CRH	PNOC	INTERACTS_WITH
CRH	PTH1R	INTERACTS_WITH
CRH	SST	INTERACTS_WITH
CRH	TAC1	INTERACTS_WITH
CRH	VIP	INTERACTS_WITH
CRHBP	CRHR1	INTERACTS_WITH
CRHBP	CRHR2	INTERACTS_WITH
CRHR1	CRHR2	INTERACTS_WITH
CRHR1	OPRM1	INTERACTS_WITH
CRHR1	PDYN	INTERACTS_WITH
CRYAB	CRYBB2	INTERACTS_WITH
CRYAB	CRYGD	INTERACTS_WITH
CRYAB	GFAP	INTERACTS_WITH
CSF1	CSF1R	INTERACTS_WITH
CSF1	CXCR4	INTERACTS_WITH
CSF1	ERBB3	INTERACTS_WITH
CSF1	ERBB4	INTERACTS_WITH
CSF1	FGFR3	INTERACTS_WITH
CSF1	FLT1	INTERACTS_WITH
CSF1	FLT3	INTERACTS_WITH
CSF1	ITGAM	INTERACTS_WITH
CSF1	KIT	INTERACTS_WITH
CSF1	MET	INTERACTS_WITH
CSF1	NGFR	INTERACTS_WITH
CSF1	PDGFRA	INTERACTS_WITH
CSF1	PDGFRB	INTERACTS_WITH
CSF1R	CSF3R	INTERACTS_WITH
CSF1R	CX3CR1	INTERACTS_WITH
CSF1R	CYBB	INTERACTS_WITH
CSF1R	FGF5	INTERACTS_WITH
CSF1R	IGF1	INTERACTS_WITH
CSF1R	IGF2	INTERACTS_WITH
