Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
ITPR2-AS2,7.4753295e-08,-14.608664512634277,0.5224838489758938,0.8602233,0.35367621208823696,1.0
ODR4,7.47365e-08,-14.608841896057129,0.522112195696512,0.8598367,0.35378439462957456,1.0
DNAJC13,7.4721235e-08,-14.609003067016602,0.5217745107276114,0.85948557,0.3538826921376067,1.0
MIGA1,7.464564e-08,-14.609801292419434,0.5201020709703933,0.8577474,0.35436984108793246,1.0
MTREX,7.463687e-08,-14.609893798828125,0.5199082517870598,0.8575459,0.35442636302962927,1.0
P2RX7,7.4576896e-08,-14.610527992248535,0.5185794914064743,0.8561682,0.35481321695299695,1.0
MUC20-OT1,7.4471856e-08,-14.611639976501465,0.5162496649346509,0.85375816,0.3554913430672131,1.0
LIMS1,7.4408355e-08,-14.612313270568848,0.5148389809817285,0.8523028,0.355901704991877,1.0
VTA1,7.4381184e-08,-14.612601280212402,0.5142355439367108,0.85168046,0.3560773787879269,1.0
MAN2A1,7.436044e-08,-14.612821578979492,0.5137739745413495,0.8512056,0.35621150655546285,1.0
RHBDD1,7.436006e-08,-14.612825393676758,0.513765981997707,0.85119677,0.35621399885243954,1.0
RPS19,7.434861e-08,-14.612946510314941,0.5135122187370538,0.85093474,0.3562880377114812,1.0
LIN52,7.429121e-08,-14.613555908203125,0.5122354098901454,0.84962124,0.3566595102484946,1.0
DLEU1,7.427837e-08,-14.613692283630371,0.5119496764549217,0.84932756,0.3567426361876612,1.0
ELL2,7.4243324e-08,-14.614065170288086,0.5111684053138557,0.84852636,0.35696955827615595,1.0
G3BP1,7.417973e-08,-14.614740371704102,0.5097537250891121,0.8470734,0.3573815859865407,1.0
CD226,7.4175354e-08,-14.614787101745605,0.50965581642949,0.84697336,0.3574099720809859,1.0
TBCD,7.4134086e-08,-14.615225791931152,0.5087366739105889,0.8460312,0.35767752516143414,1.0
ZNF718,7.410168e-08,-14.615571022033691,0.5080133487109317,0.8452917,0.3578877217494758,1.0
PHF20L1,7.4078756e-08,-14.615815162658691,0.5075018259178041,0.8447688,0.3580364374043459,1.0
PTPN14,7.406336e-08,-14.615979194641113,0.5071581465411715,0.8444177,0.35813635783486764,1.0
R3HDM1,7.4052984e-08,-14.616089820861816,0.5069263627755356,0.8441812,0.35820368282413084,1.0
SPPL2A,7.4048515e-08,-14.616137504577637,0.5068264559800029,0.84407926,0.3582327017283541,1.0
PPP2R2D,7.4017585e-08,-14.616466522216797,0.5061370990908269,0.8433742,0.3584335297850211,1.0
PPP6R3,7.3989476e-08,-14.616765975952148,0.5055096844148813,0.8427338,0.3586160712949391,1.0
UBE3A,7.398825e-08,-14.616779327392578,0.5054817105121322,0.8427058,0.35862405955421883,1.0
GPRIN3,7.398569e-08,-14.616806983947754,0.5054237645707231,0.84264755,0.35864066571868847,1.0
AKNA,7.3965566e-08,-14.617021560668945,0.5049741839908258,0.8421892,0.3587714103234615,1.0
MIRLET7BHG,7.3935304e-08,-14.61734390258789,0.5042988140530245,0.8415002,0.3589680586257279,1.0
LINC01091,7.3906406e-08,-14.61765193939209,0.503653416153883,0.84084255,0.35915591367567534,1.0
RFX3-DT,7.389094e-08,-14.617817878723145,0.5033057405054291,0.8404906,0.35925650250754126,1.0
