Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
SPEN,2.3544315e-08,-35.3758659362793,-1.6715484360563078,0.08640917,0.7687927778778642,0.7983208049866679
GRAMD1B,2.3533795e-08,-35.3774528503418,-1.6724154300868759,0.08633197,0.7688931386162143,0.7981488443401105
USP33,2.352888e-08,-35.378196716308594,-1.6728218335387046,0.08629591,0.7689400374713147,0.7979215257439195
TLK1,2.3499576e-08,-35.382625579833984,-1.6752414971672855,0.08608109,0.7692196456374369,0.7979357609947971
DECR1,2.3471648e-08,-35.3868522644043,-1.6775507024217797,0.0858766,0.7694861556045358,0.7979364039285459
LRBA,2.346666e-08,-35.38760757446289,-1.677963358234406,0.085840106,0.7695337530655268,0.7977101184627446
SEC11A,2.3439839e-08,-35.39167404174805,-1.6801850304377368,0.08564399,0.7697897316097688,0.7976999256080511
RGS18,2.3428901e-08,-35.393333435058594,-1.681091622753355,0.08556409,0.769894112545066,0.7975326999474432
FBXL4,2.3421961e-08,-35.394386291503906,-1.6816668399467127,0.085513406,0.7699603562645303,0.7973260970151329
TAOK3,2.341937e-08,-35.394779205322266,-1.6818815043340891,0.08549448,0.7699850947941447,0.7970766710856255
MANBA,2.3372058e-08,-35.40196990966797,-1.6858100710351012,0.0851494,0.7704367153254238,0.7972691664453782
RAB11A,2.3367626e-08,-35.40264129638672,-1.6861768762018798,0.08511711,0.7704790262993843,0.7970381102807487
PNN,2.3337293e-08,-35.40726089477539,-1.6887007458437502,0.08489628,0.7707686127853804,0.797062924524096
ANOS2P,2.3276264e-08,-35.41657638549805,-1.6937901675328066,0.084452845,0.7713513574134174,0.7973907762995748
RPL35,2.323952e-08,-35.42219543457031,-1.6968600766843138,0.08418641,0.7717022900172704,0.7974788472251476
TBRG1,2.3232053e-08,-35.42333984375,-1.6974853127640503,0.08413232,0.7717736098975748,0.7972780045792159
SLC18B1,2.3205999e-08,-35.427330017089844,-1.6996653025620656,0.083943725,0.7720224711808532,0.7972606455656368
PTBP2,2.3159219e-08,-35.43450927734375,-1.7035876169022803,0.083605625,0.7724693682676183,0.7974477379329626
SHOC1,2.314065e-08,-35.43736267089844,-1.7051465388610905,0.08347161,0.7726467770564962,0.7973565948922094
XPO7,2.3137053e-08,-35.43791580200195,-1.7054487362996298,0.08344567,0.7726811384277524,0.7971179430806755
USP39,2.3122237e-08,-35.4401969909668,-1.7066950402185717,0.08333883,0.7728227106736816,0.7969900188081507
ZBTB46,2.3117826e-08,-35.44087600708008,-1.707066013625882,0.08330703,0.7728648656638376,0.79675969146588
YY1,2.3113845e-08,-35.44148635864258,-1.7073994728684083,0.08327834,0.7729028995502412,0.7965252752576489
KCNQ1OT1,2.3071498e-08,-35.44801330566406,-1.710965402643173,0.08297348,0.773307564883482,0.7966687271593991
TRPM7,2.3066857e-08,-35.44873046875,-1.7113572172531413,0.0829401,0.7733519194551023,0.7964410124518744
TTC7A,2.3025212e-08,-35.455162048339844,-1.7148710440212613,0.082640894,0.7737499489774408,0.79657756325259
CCNI,2.2991642e-08,-35.460357666015625,-1.7177096158232659,0.08240009,0.7740708504090914,0.7966346440595622
CTSH,2.2971145e-08,-35.463531494140625,-1.7194436038844023,0.08225324,0.77426679784362,0.7965631334688733
URI1,2.2951687e-08,-35.466548919677734,-1.7210921430146413,0.082113944,0.7744528395968756,0.7964814844517559
RPS7,2.2946217e-08,-35.4673957824707,-1.7215548177136464,0.08207482,0.7745051224061944,0.7962623749027028
PPP4R2,2.2944239e-08,-35.46770477294922,-1.7217236314551754,0.08206066,0.774524053481461,0.796009138526666
SLC35G2,2.2910902e-08,-35.47288131713867,-1.7245517826558507,0.081822366,0.7748428210602963,0.7960641239308283
ZNF767P,2.290358e-08,-35.474021911621094,-1.7251749346153218,0.081770085,0.7749128251173037,0.7958635825383397
HLA-A,2.290029e-08,-35.47453308105469,-1.7254542067309373,0.081746586,0.7749442984154815,0.7956236194132261
ABCA1,2.2870658e-08,-35.47914123535156,-1.7279718240120103,0.081535175,0.775227668641893,0.7956423507504518
HLA-DPB1,2.2843441e-08,-35.48338317871094,-1.7302893657475675,0.08134123,0.7754879798968938,0.7956374111694284
RBM5,2.2826754e-08,-35.48598861694336,-1.7317128198891014,0.08122244,0.7756475864166972,0.7955291889393398
FCGRT,2.2801013e-08,-35.49000549316406,-1.7339073985289772,0.081039354,0.7758938203774199,0.7955098582004226
NPEPPS,2.2781693e-08,-35.49302673339844,-1.735558021779482,0.08090208,0.776078645568564,0.7954276008713322
STAU1,2.278082e-08,-35.493160247802734,-1.7356309659887845,0.080895886,0.7760869855040093,0.7951645761343571
FOXN2,2.2761606e-08,-35.49616622924805,-1.7372732527582262,0.08075948,0.7762708126115363,0.7950814705280616
EXOC2,2.274983e-08,-35.49801254272461,-1.738281966966868,0.080675945,0.7763834729976937,0.7949255552596652
TMEM168,2.2732424e-08,-35.50074005126953,-1.739772112956907,0.08055253,0.7765500267416002,0.7948249079984796
TARBP1,2.2715694e-08,-35.503360748291016,-1.741203903579504,0.08043402,0.7767101040610817,0.7947177027914443
GOLPH3,2.2683347e-08,-35.50843811035156,-1.7439778676532691,0.0802051,0.777019660874526,0.7947634636279661
SRSF5,2.2680638e-08,-35.50886535644531,-1.7442112891230375,0.080185935,0.7770455956127572,0.7945191933335211
TTBK2,2.2600375e-08,-35.52149963378906,-1.7511138954433303,0.079619415,0.7778138314660947,0.7950338243289341
FASTKD1,2.2564112e-08,-35.527225494384766,-1.7542421599622793,0.07936412,0.7781609905793356,0.7951178524782384
XRCC4,2.2460933e-08,-35.5435676574707,-1.763170531180919,0.07863996,0.7791490227321641,0.7958564388084495
BCAR3,2.2444633e-08,-35.5461540222168,-1.7645835647211239,0.078525856,0.7793051537179075,0.7957450718977341
CYP20A1,2.2427423e-08,-35.54888916015625,-1.7660778789516944,0.07840549,0.779469980856491,0.795642657330044
ZC3H7A,2.2381268e-08,-35.55624008178711,-1.7700939787038696,0.078083105,0.7799121316779734,0.7958232938339334
HECA,2.2350875e-08,-35.56108474731445,-1.7727408114414216,0.07787118,0.7802033205518368,0.7958498181427812
YIPF4,2.2333682e-08,-35.5638313293457,-1.7742413780327895,0.07775143,0.7803680530571188,0.795747375883253
RBBP4,2.2319947e-08,-35.56602478027344,-1.7754397471856183,0.07765582,0.7804996666630131,0.7956112430895728
